,text
3433,اولا انت تهدري على الجزاير اللي هي نتي راكي فيها تسما راكي تهدري تاني على روحك ثانيا الناس ماهيش حيوانات باش تدير الصفات اللي زعما قلتيهم غير ضعاف الايمان مساكن هاذوك ميتلاموش علاه لا يلامون روحي اتفرجي في روحك في تصاورك في تصاور ال اللي كيفك تفهمي علاه و ثالثا نقولو كاين الصنف هذاك المتوحش سواء بنات لاذكور هاذو انسان ماهمش ملايكة يخطاو كاين ربي اللي يحاسبهم في الاخير نقولك بديتيها بكلمة تخلاص عليك كيما قالو ناس بكري الفم المغلوق متدخلو ذبانة شكرا
1417,الله يحفضك كملي المشوار التاعك انتي والله شابة والله اول مرة رءيتك لحبيبتي اجي المانيا مرحبا بكي وربي انشا الله ايوفقك
349,نحملهاش هاذ المخلوقة
500,والله بردتيلي قلبي كلامك عين الصواب والحق كاين فىة مريضة نفسيا حاشى البعض الحيوانات واغتصبوهم ما يطلقوهمش نسال الله العافية تقول ماناش مسلمين لا نمت للاسلام بسمة ولينا نخافو نطلقو ولادنا يلعبو نخافو عليهم من الناس كامل الثقة مكانش وزيد نورمالمو الدولة طبق القصاص قال تعالى ولكم في القصاص حياة يا اولي الالباب صدق الله العظيم لازم نكونو يد وحدة ونطالبو بالقصاص خطش هذي صرات لشيماء وصرات لقبلها لبزاف ولاد وبنات صغار قادرة تصرا لاي واحد فبنا ربي يبعد علينا لازم القصاص للمجرم
1884,انتي ماشي فنانة نتي زرنانة عندك وحد وجه تاع جعفر ولا مكانش كاين مهاجي جارنا
3540,قالت صراحة واحد فيية في جزاير لوكان جيهم فرصة قطة يغتصبوها رنا بحجابنا شرعي وكلتونا بعينكم
4175,بلاك عن قريب نشوفوها مع جوني سينز
3179,من طونوبيل فيمي كيفاش يشوفوك
1250,هذي كي نشوفها فاي قنات نكره القنات هذي نبلوكيه طول بلاما نخمم مغطيا علا جبهتها جبهة التحرير البطني
3878,ربي اجيبلك الشفاء يا المهبولة
1263,بيت الماء فمك كيف كيف
243,والله صح مفهمتش علاش جايبينها موراها هدرت كلمة الحق
3897,روحي سقسي على ولديك مليح نصيح من شاب جزايري اب عن جد
1444,بركي من الخرطي سبيتي الشعب الجزايري سبيتي الرجال قولي ايه استعرفي بالغلطة نتاعك واطلبي السماح من الشعب الجزايري هو ليطلعك هو ليهبطك مهما درتي ومهما قلتي انت مستواك هابط معندك حتى مستوى عقلك مخك فارغين انت بلاعقل انت زيرو كيفكيف
4935,للمرة المليون ساقولها المراة بطبعها تبكي وتستعمل الدموع اذا كانت ظالمة او مظلومة وتغيير جلدها مثل الافعى حاشا بعض البنات لي ما يستاهلوش لكن عمري ما درت ثقة في مراة
2827,تاع وجهك يديك جزايري والله ماتحشمي مداير كي شر
2342,ان لم تستحي فافعل ما شيت صدق رسول الله
1385,قاقو تعرفيها سبي وقولي سرقوها زادو فيه مهدرتش هكدا
4452,هي طريقة كلامها
381,ضعف شخصية
2638,عنده الحق
201,ياربي كون جات بحذايا لكف تكره من وجها
3799,مغرورة زواخة
788,او انا ختي متهدرش في الجزايريين منعرف شحال من مليون جي هاذي تسبهم
2949,يس يكدبوك ويزيدو يسبوك واصلا هي جاه النيف على بنت كيما هي
4077,روح تعطي انت يا المفروع اللور الصح يجرح
3084,هي كانسانة هدرت الحقيقة افعالها لي تخلي الناس تشتمها لكن الخطا تاعها هي انها عممت ولان القلة القليلة من الرجال لي راهم تاع حرمة علاه تنوفقو في بعضاكم علاه حتى اصبح الحق باطل والباطل حق قالت الحقيقة يا ناس علاه التنوفيق علاه كيفاه هنا الواحد يجيب حقو الباطل اصبح حق
2846,روحي سقمي العفايس تاع العروبية المضحكة تاوعك مبعد هدري
591,الله يهدينا برك
398,بلعي قادري روحك راكي كبيرة احشمي
4504,ما جيك لا صدمة لا والو واش تتوقعي من فنانات نتع دورك ياك خامجين وهذيك خامجة دارت فضيحة مغ عشيقها جزايري وحابت تلصفدقها في فلسطيني
4728,زعما هي مهبولة تسب في الشعب كامل باينة على لي نشرو فيديوهاتها
5670,هذا صهيوني ممنوع دخول ارض شهداء
1038,هاذا غاشي تجيبوه وتقيموه انا لوكان توريلي جبهتها نسمحلها
5250,يخي قالت شعب همجي نخاف نروح ونروح بلا رجل ولا بلا يد
5286,الثقافة الجنسية تتكالب علينا من الداخل والخارج ولهاذا يجب طرد من استدعاهم للجزاير
5343,هذا واش كان خاصنا تتسڨم البلاد
5350,لا نريدهم لا يوجد غيرهم كا فنانين ونطالب السلطات بعدم دخولهم للبلاد وهذا رفض من الشعب الجزايري هو من يقرر وكل من يحكم الثقافة بالجزاير نقول له لا نفتخر بهيفاء العجوز ولا نريدها ببلدنا الجزاير
3732,روحي ترباي غي نتي ولد بلادي ونديه فحل واش دخلك اكبر د د
6032,ضرباته براس قتلتني بضحك
1680,وات ذا فاك بيتش ماما سلكيني راني خايفة
1066,امين اجمعين
576,انا والله حكمت عليها بواش سمعت وكي شفت الفيديو فهمت الهدرة لي هدرتها موجهة لفية من الناس لي هدرو في شيماء والطفلة ربي يرحمها وهدرت على بعض الناس لي طلبو القصاص وهوما بالاك لعبو ببنات الناس هي صح غلطت معرفتش تعبر وبالغت شوية بصح منكذبوش وش قالت صح
1397,نتي من بكري فايحة
975,شيطان في صورة انسان
2062,لله غالب وكان جات مربية طهدر على ولاد بلادها
1340,بينه تكذب انا اصلا ما نشوفك من نلت بيك
38,وجه مقلى
1460,قلبك عامر بالامان نعناعة اضحكتني لعنكي امون
1878,مراكيش تباني باه يريقوا عليك تباني متحول جنسي
4965,بصح بيناتنا شكون لي ميطيحش هي طيحت بريفي يعني ماشي علنا
5538,وزارة العار يجب استقالت الوزير محاكمته
4724,فنانين الجزاير
4182,نتي من بكري تديه بقلاويه طايحة بنت فاميليا
1541,طبطب
4621,وضرك هاذ لحكاية تاع بشرى ما تخلاصش ها روحي ادي حكايتك ود يها ليماك تبكي عليك وحنا واش دخلنا فيها كل واحد يتلها بولادو الله يسهل عليك حياتك الخاصة ما تهامناش ولا لالا
2959,عدها الحق وين التكبر راهي تهدر عشي الي راكم تديروه
5185,ممنوع الدخول محمد رمضان
2299,يا بنات ابداو تساترو رواحكم رانا مسلمين ماشي متبرجات كاسيات عاريات تحاسبو في الرجال هذا شيء حرام عليكم البسي حجابك مستورة ناتورال اعرفي كيفاش اتسيري حتى واحد ماراح يتلع عينيه فيك او الحمدلله عندنا رجال فالجزاير فحولة غاضين ابصارهم ونفتخر بهم هي عيب عليها اجمع الله يهديها
4471,هادي ام وراهي تربي في جيل سا سي
4699,ني اوما م قاتلكم يدكم عليه شعب جايح
3405,كالشمش
2858,مونيا لم تجد من يعشقها ويدللها لان صفة الجمال والادب لا تطهر عليها خلوها تبرد
1980,اقسم بالله عدها لحق علاش تهاجمو فيها الشاب الجزايري اتفه شاب في العالم
2460,التبهدايل كامل عندها
5722,انا شخصيا ارفض الذي شتم الجزاير وشهداء انه لا يدخل الجزاير نهاييا
3722,بنت الحركي الله غالب
1002,الله يرحمك يا ريم غزالي
969,عري المطار خلي البوينڨ تڨاري
1471,روحي يا وجاه زاك
5499,الله يبارك فيك كلامك في محله شكرا
5371,من يدعوهم هو خاين ويبذر في المال العام وعقوبته الاعدام
3487,بالصح قالت كلام عادي الاعلام الفاشل اللي ضخم القصة هي ربما تقصد جهة معينة فقط لكن من كلامها لا اراه تعميم لكل الشعب مجتمع يتبع غير التفاهات
4496,عندها الحق في الوقت لي رانا فيه شيخ الجامع وترجعوه يطيح الكلام كل شاة تتعلق من عرقوبها ماكاش لي ما يغلطش وربي ستار وانتوما نهار وليل تفضخوا في عباد ربي اتقوا الله في انفسكم
1304,نعلبو قنوات تاع خرى لي طلعوك تفاهة
5114,مافيه حد حاب يجي للخساير يسرقو اجلدة
4815,يا اختي خافي ربي الدينا راحت فيها كثرت فيها الكذب كلام الفاسق حسبنا ونعم الوكيل فيهم
1886,ماشي ڨاع الخضرا حشيش قادري
1175,ما زلتي وجهك الصحيح وراكي تهدري بالكذب مونتاج فيديوا انتي شفتيه هملى حتى انتي مع زميلتك في مركز الشرطة تاني مركب الفيديو ايا طيري باركك من الكذب صاي راحت لك راحت لك باي باي الله يخلف على شعب هو لي كان مقيمك هو لي طلعك و لا سيما كي هبطك هبطك ديركت بدون نقاش
1667,ننفعل ولا نتفاعل قولي تشوف واش كاين ثما زعما قاريين مايعرفوش حتى كيف يعبرو
5183,منحتاجوش لخماج هاذو الجزاير مسقية بدماء الشهداء الابرار اللهم ارحمهم
2136,الطفلة ماقالت عيب عندها الحق تريقو في الواقع وتسبو فلنواقع
4279,كون يسمع بيك شمس دين تسمعي وش يقول عليك
1918,مرحبا بالجميع في قناتي المتواضعة
2137,ارحمي روحك من النار وستري روحك خير المومن يبدا بنفسه امرك اذهل العالم
44,الخاتم في الشاهد تداعى بانها مسلمة
2032,كلامك صحيح اختي الجزارين يستشفوه في بعضاهم
1266,تبقاي مرخس وجامي نشوف فيك مرا
1621,انا مصنفتهاش متهدرش باسمي
4024,لوكا نديرو لقصاص نبداو بيك على حساب التبرج التاعك صح حق المراة لازم يكون مي كي تشوف هاذا النوع تاع نسا مينداك تقول مليح العصر الجاهلي يدفنوهوم حايين والله
736,كنت قادرة توصلي فكرة تاعك تمدي نصيحة بكلمة طيبة ماشي بالهجوم لانو الدين تاني وصى على الكلمة الطيبة قل خيرا او فلتصمت
1152,شنو هاذ ياخرا انتي شنو تڨولي
4591,يا المنافقين صوتها ولي يخبي عليها راه كيفها
5812,قناة مروكية تفتري على الجزاير غير اخرجو منها
2153,انا مفهمتش كيفاش نتي تلبسي دجين مزير وتعري ودزيد زوج كيلو تاع ماكياج صدرك وبغيتهم مكابروكش
5240,من العیب والعار ان نستدعی فاسقین وفاسدین بالامس شتمو شوهدانا والشعب الجزایر اقل لمن استدعاهم حسبی الله ونعمی الوکیل امتلک قلیل من الرجولة واسال نفسک
1219,بهلولة لما في بلدي اصحاب الرداءة يعطلهم قيمة ويسالهم عن مواضيع ما تنفع المجتمع في حتى شيء
961,زمن الرويبضة تشوف التفاهة والانحطاط الاخلاقي الله يعافينا
1013,مسكينه كانت تاكل فى الخبز ولباس عليها والان راها تخمم تبيع لمحاجب فى رمضان كاش ما تصور على روحها شويه دراهم
2711,لو طبق القصاص كما تقولين ما كنت هنا وما كنت ستتكلمين هذا الكلام مستواك فالكلام يعكس ضعف ثقافتك وخاصة عندم تتكلمين بالفرنسية ارفعي من مستواك قليلا
4074,ريوق ريوق هذي شفو فيها ناس اخلي الكوكل وتبعك
3000,اتقي الله
4339,ربي هو ليستر وهو ليفضح لعباد الغدارين
2193,عجبني هذاك السيد اللي قالها جبهتك جاية كيشغول عڨبة هذا العڨبة اللي عيات الشاب خالد في طريڨ الليسي
3268,صح واش قلتي لعاب يسيل عندما ينظر الشاب او الرجل لفتاة متبرجة داربا جين مزير ولى فيزو لكن لكان عندك شويا ثفافة او شويا دين لعرفتي او سقسيتي علاش مع العلم يا الجاهلة ان النساء كذلك يسيللهم اللعاب عندما يشاهدوا الرجال اعلمي ايتها الجاهلة ان الله عز وجل جعل في الرجل والمراة غريزة شهوة هذه الغريزة تجعل الرجل عندما يرى المراة او البنت الكاسية العارية يتمنى ان يلمسها او يفعل معها كل ما في خاطره وكذالك المراة نفس الشيي فلاربما تاتي واحدة منكن وتقول انا لا اشتهي الرجال ولا ابالي بهم اقول لك هذا صحيح وسببه كثرة مخالطتك لي الرجال وهذا كذلك يجعل غريزتك تندثر شييا فشييا حتى تصبحي حية ميتة النفس ولكي لا نصل الى هذه الامور المحرمة يجب علينا ان نطبق ما امرنا الله به وهو غض البصر على الرجال ان يغضوا بصرهم وعلى النساء كذالك ان يغضضن من ابصارهن وبلتزمنا بالحجاب الذي يسترهن في الدنيا من الذياب البشرية في الاخرة من النار واخيرا ارجو من الله عز وجل ان يهدي شبابنا ونساينا ويرحمنا ويرحم موتى المسلمين امين
248,عندها الحق والاغلبية ميحبش الصراحة
415,ماشى غير هو وين تروح تلقى فية من هذو العباد لاال الا الله ربي ثبتنا على طريق الحق وخلاص
2634,مونيا عندها الحق في كل كلمة قلتها والله العظيم غير حيوانات عندك الف الحق وربي شاهد انني دايما اقف مع الحق اقسم بالله غير عندك الحق واكيد حاشا لي ميستاهلش عندك الحق عندك الحق عندك الحق
706,دموع تماسيح
3105,شكون سامع بربها هادي ليوم وي عرفتها انا هي ولا امثالها منستعرف بحتى وحدة منجيها في حتى معزة
5906,لا نريد هم في بلادنا هدا الفيران
6045,اسوا فيلم ومعندوش معنى نطالب بحذفه باسرع وقت ممكن لانو يهدد فالمجتمع والدين
241,كلامها موجه للمتحرشين الفيديو كامل مفيهش اي اشارة للشعب الجزايري هاجمت الناس لي كانو يبرو مقتل شيماء كلامها واضح
1698,نقلك روحي اغسلي وجهك بشوية ماء وبعد ارواحي فهمينا
482,كيما قالت ريبيكا فلي سطوري تاعها راكي دايرة ريبيكا مرجع ليك يرحم باباك ما تحكيش على التربية الاخلاق المبادىء راه بان مستواك مادامك تبعي في ريبيكا متحول جنسي مسخوط خنز خامج يطيح الكلام يتسمى مادام يعجبك راكي كيفو الله تتحسابو عند ربي على الخماج لي نشرتوه على الفية الضعيفة الشخصية لي يتبعو فيكم مساكن بلا ما فاهمين وين رايحين لوكان نتبعو الصح الحلال الحرام حرام عليك حتى تنشري صورتك فمواقع التواصل واينك انت نهار كامل ماكياج شقة تاع صدرك باينة ديما راها ناشرين خراكم حياتكم فمواقع التواصل سي نورمال يريڨو عليك يريحو عليك مشي باه يديك مراة تاع دار علاخاطر لي كيفك ما يعمروش الدار يريڨو عليك باسكو انت طرف لحم كيما قلتي اكي عرفتي روحك بلي تسواي طرف لحم علابيها وصفتي روحك بصح بنت الفاميلة رغم قلتهم تحياتي ليهم بصح لي حاكمة في صلاتها حاكمها قدرها ما تحط تصاورها ما تضال تشطح فالتيك توك ما تتفرج ريبيكا الخماجات لي كيفك هادو هوما لي نريڨ عليهم انا شخصيا هادو لي يديرو الدار ماشي الشتلة تاعكم الله يقطعها ان شاء الله ما نلومكمش انتم نلوم لي جابكم مالزقاقات عطاكم حصص اداور وليتو تمثلو وحدة كيما انت لا زين لا تربية لا اسلوب حوار مرعونة جاية تهدر فكلام مش مليح لشعب كامل تجيع تنصح فالناس
3304,هذه ليست بفتاة اصلا بل كتلة ان انت اكرمت الكريم ملكته وان انت اكرمت اللييم تمردا وحتى الحيوان ما يغدرش اللي اواه
871,وانتي واش تكوني حتى تسمحي لروحك وتحطي روحك محامية على النساء وكلامك تاع وحدة خامجة
4602,بهدلونا
3723,روحي ترنكي روحي حفضتي زوز كلمات فرونسي خريتي تححتك حاشة السامعين نزيدلك
2200,الي مخلطش روحوا مع القورشالا ماينقبوه الجاج يا
893,جبهتك وسركاجي كيف كيف
2724,مسكينة مريضة ربي يشفيك ويعافيك يسمى خوك وباباك وخالك وعمك وجدك و عندك عقدة من الرجال اف مرض خبيث الله يحفظ ويستر
5920,كاين الممثل هشام سليم وماجدة الرومي محترمين وعمرهم ماغلطو في حق واحد من بلادنا ولا في شهداينا الابرار خاصة هشام سليم الممثل المصري في مباراة الجزاير ومصر والله سمعتو واش هدر كامل
1519,مازال راكي تهدري نورمالمون ماتزيدش تباني قاع قاع قاع
88,ماكيش غاطة حبيبتي نحبك موت عليك
4678,الله سبحانه يقول في كتابه الكريم قل اللهم مالك الملك توتي الملك من تشاء وتنزع الملك ممن تشاء وتعز من تشاء وتذل من تشاء بيدك الخير انك على كل شيء قدير صدق الله العظيم مانتجادلوش مع كلام الله ربي يكشف كل واحد
1249,تفوه يا المرخس نهار تلقاي راجل في دارك ولي اهدري على الرجال خامجة
4161,بصح صح تحرش بالشوارع دايما رغم الفتاة محترمة
1360,صدقت بن فغول ولو كذبت تع صح شعب مكبوث هيا الحقيقة
2180,سمحيلي بصح بكل صراحة انت ماتوقفيهوليش
3426,هي تعميم صح هدي غلطتي فيها صباعتين مش كيف كيف خاوة مش كيف كيف مي ظاهرة تبرقيق كاينة وكاينة بززاف مي مخلعة ديروها برك اصلا لراجل مسقم خاف ربي تفوت ملكة جمال معلبلوش بيها غاض البصر تاعه عارف حتى حاجة مدوم مي لي يشوفوا لي يتبلاو بنات ناس مش مربيين ثاني جي لي يتبلا بناتهم علاه يقلك احترم تحترم هدي هي قاعدة لازم يتعاملوا بيها كامل ربي يهدي جميع
5826,مين رمضان هيفاء
316,سلام الجزايريين هذي المسيحي شوفو رقبتها
3792,في هاد الهضرا والله ما غلطت وڨالت كلمة حق لحلاب وين تروح تلقاه وراجل مكروه والعسا والنميمة والغيبة والحسد هل هاد لهضرا ماكانش منها كاينا منها ميا بالميا
4491,انا نقول للي راهم ينشرو فهاذ التفاهات ربي يهديكم حتي واحد ما يتحمل ينكشف الستر علي فضايحو وباينه بلي راهي في حاله هستيريه ونفسيه صعيبه فموكد تكون هاذي ردة فعلها ربي يهدي الجميع وماذابيكم وماذيبينا نحبسو هذا الشي بقطع نشر هذه التفاهات ونلتهاو في رواحتينا خير لنا
619,اظن انك امراة وهدا ما يزيد ياسي ليس المراة التي تفتن وانما الرجل الحيواني الدي يجب تربيته وتاديبه انظر الى الرجل الغربي المتحضر لمادا لا تفتنه امراة بلباسها لا ياعزيزتي المسوول عن السرقة هو السارق وعن القتل هو القاتل وعن الاغتصاب هو المغتصب اما عن الحجاب في الاسلام ففرض على النساء المومنات الاحرار لكي لا تتشبهن في لباسهن بالامى ولا يودين ان عرفن انهن حراير اقرا الاية التاسعة والخمسون من سورة الاحزاب وتفاسيرها ولم يتكلم قط عن انها تفتن الرجال لعلمك يااخي المسلمة ان في دولة الرسول وعلى مدى اربعة عشر قرنا كانت تعرض المراة للبيع في سوق النخاسة بلا حجاب وحتى صدرها عاري ولم يعارض احدا على انها تفتن الرجال
4096,كون تستري روحك تبانلي واحد ما يديها فيك كاسيات عاريات نتوما تلبسوا العريان مفصلين تحوسوا الرجال ما يشوفوش فيكم واش بيكم راهم عباد يحسوا وانت تبانلي كي واحد ما داها فيك ديتيها في روحك ان لم تستحي فافعل ما شيت حتى انت هكاك
4996,الله يصفر وجهك
2707,من فضلك نحي الماسك واحكي عبارة عن شحمة ناتنة
901,جبهة التحرير اعطيناك عهدا بصاح جبهتك ديتلك وجهك
404,جبهتك
1490,جيمي مندوسا القصف بارع
2355,الله يهديك وروحي ستري روحك واتقي الله في نفسك وتحيا الجزاير والله يرحم الشهداء
3357,هي حشرة وانتوما الرجال كامل عططي صدقت فيكم روحوا تعطيو على بعضاكم نتوما وهي وشكرا
4835,التضامن تع الشعر حابين ايديروا معاها نفس الشيء البوس المساج ما خفي اعظم
614,اصلا القصاص واش معنى القصاص هو انت كيما دارلها يديرولو لاعبينها مسلمين هوما ماعلابالهمش اصلا واش معناها الاسلام اعطيك الصحة والله قستيها بالبزاف ماجاتش غير فيها هي
2643,مهبولا جديده
4470,بان الذهب من نحاس ومزال يبانوا لفظايح ربي يخوذ لحق ياوجه منكولش
2681,باي واي عندها الحق بصح قلطت كي جمعت
860,وي والله كاين كاين شعب حابس حاشا لي ميستاهلش
5082,الجزاير لاتحناج الي المنافقين
3770,مالخر علاش دارو الفيمي باه مايشوفو اللي داخل السيارة ونتي تقولي ريڨو عليا على ما اضن عجبتهم الكيو كيو تاعك الله يهديك كل الكاسيات العاريات اللي كيفك المخنثين وتحية للرجال وبنات الفاميلية
5562,الجزاير في غن غنن عن هاذ النوعية من الناس ليس لهم شرف بالتمسك عن ماقاله عن الجزاير فهذه النوعية من شبه الفنانين يتبعون الدرهم ين ما كان لو يتناسون ما صدر عنهم البارحة الدراهم تفعل فعلتها الاحرباء خلقها الله كي تختفي تتموه طبيعيا الاصل الفنان عندما يتكلم فانه واعي لما قاله لا يتغير ابدا ابدا لانه فنان مواقفه هي قناعات لا تتحول باي حال من الاحوال هذا مبدءيا اما هذه النوعية هي طيرة جدا جدا تتملق لمن يدفع المباديء ليس لها اثر عندهم هم يريدون الشهرة المال هذا الهدف الوحيد الوحيد في حياتهم الجزاير اكبر بكثير من اي انسان فوق هذه الارض ارض مسقية بدماء شهداءنا الابرار الذينا اشتراو ارض اجدادهم بسيل من الدماء الطاهرة فياتوا هاذ المرخس اللي سبوا بلادنا صفها بما لا يوصف مسوا في شعبنا الابي نعت هم بما لا يوصف هذا الرخيس او هاذوا الرخاس اللي فكروا فيهم انا نحسبهم اولاد لحركة لى اكثر من هذا الوصف انتفاضت الشعب الجزايري اراحني كثيرا كثيرا دافع بش اسق بكل قوة على شرف بلادهم
60,صح عندها الحق
414,المخدرات وش تعمل في الشباب والشاب كون اختصر وتزوجها الطفلة صغيرة مسكينة ربي يرحمها مسكينة نونية منتشفوش مش الناس كل زي بعضاها وهذاك الشيطان الي يخلي العبد يقتل ربي يعفينا واحنا الجزايريين دعاة للاسلام مكس الناس كل زي بعضها واحنا الشعب الجزايري قلبنا واحد خلينا ملي غلطوا ربي يتولى عباد ام صلاح
3699,كون جيتي قدامي نطبق عليك شرع الله
581,شيء حكاتو واقع نعيشه
4323,وش صاير ديرين هذه الموسيقى تع الحزن تقولو راهو الشعب الجزايري كامل ماتو الله يهديكم كون جت امراه زولية راكم سكتين الله يهديكم
3651,خطاك انتيا بڨرا
4644,محسوب زوجاتكم اخواتكم كل طاهرات خيات شكون زوجات شكون لي راهم طرف لبحر فلغيب لزوتال طوموبيلات فلمحاكم
5056,لا لي دخول جميع من سبنا سب شهداينا الله يرحمهم هاد الفساق المفسدين قليل تربيا تفو على جميع من سب شهداء الابرار يرحو يقودو هاد الفنانين الفجره
2719,بلع يا عيشة راجل
701,هي هدرتها صحيحة بصح تعبيرها ناقص شوي وكي راهي تقول من كبير وصغير راهو قصدها لي جون والعجايز كامل مقصدهاش كامل الرجال قصدها تلقا من كامل الاعمار ملاحضة انا هاذي المخلوقة اول مرة نشوفها في حياتي متقليش راكي دافعي عليها ومنعلاباليش
4655,يا ودي كانت باينة من لول لوكانت بنت فاميليا كيما قالو متصورش روحا في هاديك وضعية حتى ولو كان زوجها عجب يحل ماحرم ويحرمو ما احل الله عجب هادو عباد
3394,تفو خنز
4303,حرام عليك عيب والله
4054,زهرة اللوتس كاينا
5506,هاو الزبل بدا بان
1582,تفوه رخيسة
2360,كل ما قلتيه حق ولكن البعض ياكله كره من هذا الكلام وبلاك يتربوا من هذا الفديوا ربما
5345,وزارة الثقافة الى المزبلة دقول وزيرة الثقافة ماشي جزاءرية لكان جات جزاءرية متعرضهمش
4242,هذا التسجيل قبل ما تسرب فيديوهاتها
4023,خلاصلها البوز عليها دير هكا
204,مديتها في روحك بشوية برك عروحك قاعدة تعيفي حاشى خليقة ربي امسحي لمكياج وشوفي مع روحك
2488,انا مرا ونتي متشرفيش المراة المسلمة لاحياء ولادين لاملة تفوه
1251,روحي تلعبي بعيد
5603,من هذا الاحمق الذي دعاهم لا حول لا قوة الا بالله هذا الاتنين هم اكبر ماسونيين عرب في العالم نهيك عن ما قالو عن الجزاير اهلها شهداينا ان نستقبلهم هم ليس مرحب بهم
3918,ربي يهدي ماخلق ناس طلعت لقمر وحنا قاعدين غير نعسو في ناس
842,مهما تبررينا لها هي اخطات في حق اولادي بلادي
3815,روحي تعلمي العربية زين ومن بعد اهدري حلاجة
2668,امشي يالفارا هادي هدرا تهدرها واش يريڨوا عليك كي نتي كي صحبتك ريح فشبك انا عليا غير نقولك ربي يهديك ماشي غير نتيا عندك طنوبيل ونزدلك هادي خوديها من عندي رسميا شعب الجزايري لراكي تهدري عليه مراهوش سمع بيك  خلاص ولاو يكرهوك ميحملوكش يا شاديا
4205,لا تجعلو من الحمقى مشاهير
4306,ماش هي ماش صوتها
3633,ارتدي الحجاب يا ملعونة اومبعد اشغلي بالشباب غليتو علينا الشربة بشروطكم السورية والتركية بيانسور نشوفوهم طرف لحم تعراي وخرجي لشارع واستناي من واحد اربعين سنة بلا زواج يغض البصر
4095,امشي عريان قله علاه شاب فيا
1182,سلفيلي وجهك نروح نقابل بيه الناس لي غلت معاهم
2785,كلامها معقول راهي تقول في الصح رايحين يهبلو ڨراف كرهت من الرجالة تاع الجزاير يشوفو كي الليزر
5714,المنضومة الصحية والتربوية في امس الحاجة للملايير التي ستصرف على الرقص اللهو اتقوا الله في هذا الشعب
4836,ياخاه الله يذلك ياخاه
2993,مقستيهاش تحيا ولاد بلادي جامي شفت الريوڨ انا سمة انا ماشي بنادم
2791,اول حاجة عندها الحق او مهدرتش على كامل رجال
2264,الحقيقة مرة
3765,شوفي نقلك كلمة روحي حكيها بعيد
4790,شكون مالا كي مش هي بيونة مثلا
5703,فريال احسنتي قولاا
1378,وجهك صحيح وقنوات صرف صحي جيب غير المياه الملوثة العفنة لحق رمضان مخدمتش مسكينة عبيدة المال
5130,كلام صواب من سكيكدة
2721,هدفها جلب الانظار وحشاتهالكم بيسك كامل تحكو عليها
767,كلامك صحيح 100 100
3019,قالها الذيب فيها كامل المواصفات غير الصفة تاع امراة مافيهاش واللي مفهمش يفهم اللي فهم
503,واش ختي منال حدلي عجباتك دايرة الحجاب الخمار تشطح مع الرجال ودايرة كيلو تاع ماكياج الاضافر حالتها حالة بف
144,عندها الحق
5700,والله غير في المطار انحوزوهوم ندرو الحراك عليهم
4224,سمعت تسجيل وحداخور قالت ماشي هي بصح والله غير هي واشيبها بشرى والله راني مخلوعة مانيش مامنة بلي هي ربي يهدي الجميع واتركوا الخلق للخالق كل واحد يخدم للاخرة تاعو ويصلي ويلهى بنفسو الموت راهي تخطف
5498,صح اكيد
2348,مي باينة نتي ديري زوج قناطر تاع ماكياج لبستك قريب تطرطق ديري الريحة ظلي تشحبي فالزنق تجيك بيزار الا ريقو عليك منيش نهدر برك عليك راني على اي شيرة دير هاك لوكان جيتو ساترين رواحكم عند حدكم ملتزمين بدينكم تا واحد ميشوف فيكم
1129,بصح باين بلي ماسونية مسمومة
4440,هكدا بينتلهم صح ماشي متربية وخامجة
4473,ابعثوه لباراكودا لجماعة لي قالو بلي بنت فاميلية
2016,كي عبد يكون رخيس يبقى رخيس لباشعة
